conversation_id,created_at,hour,inbox_id,status,user_messages_count,full_content,first_message,raw_messages,is_promotion,matched_categories,keyword_count
3241703,2026-05-22 04:23:21.845612,4,2,1,2,"{""cardType"":""reverse_order"",""data"":{""reverseId"":""S01326052101305434009"",""orderId"":""S011260517012612034003"",""showStatus"":""Return the item(s)"",""reverseItemList"":[{""skuId"":971223,""goodsId"":1781692,""goodsName"":""Bodycon Dress"",""skuValue"":""Color:Light Blue,Size:XS"",""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/177240b31a4649c186daae28ba8af52f_w96_q85"",""value"":""Light Blue""},{""keyId"":2,""pic"":null,""value"":""XS""}],""coverImage"":""https://img105.savana.com/goods-pic/b87ef51949634478933451c633d2634a_w90_h120"",""count"":1,""showDiscountPrice"":""₹1,260""}],""applyTime"":1779307254,""applicationTime"":""21 May, 2026 01:30:54"",""totalActualReturnQty"":1,""afterSalesType"":2,""afterSalesTypeTxt"":""RETURN"",""refundMode"":[{""icon"":""https://img105.savana.com/0da10966667842dbb7d8c00b94565f27"",""content"":""PhonePe 9981**-2@axl""}],""refundTimeline"":null,""refundStatus"":""OTHER"",""totalAmountTxt"":""₹1,260"",""isRtl"":false,""country"":""in"",""labels"":{""view"":""View"",""applicationTime"":""Application Time"",""returnMode"":""Refund Mode"",""returnTimeline"":""Refund Timeline"",""total"":""Refund"",""viewMore"":""View\nmore""}}}
I want to know when this item is scheduled for return","{""cardType"":""reverse_order"",""data"":{""reverseId"":""S01326052101305434009"",""orderId"":""S011260517012612034003"",""showStatus"":""Return the item(s)"",""reverseItemList"":[{""skuId"":971223,""goodsId"":1781692,""goodsName"":""Bodycon Dress"",""skuValue"":""Color:Light Blue,Size:XS"",""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/177240b31a4649c186daae28ba8af52f_w96_q85"",""value"":""Light Blue""},{""keyId"":2,""pic"":null,""value"":""XS""}],""coverImage"":""https://img105.savana.com/goods-pic/b87ef51949634478933451c633d2634a_w90_h120"",""count"":1,""showDiscountPrice"":""₹1,260""}],""applyTime"":1779307254,""applicationTime"":""21 May, 2026 01:30:54"",""totalActualReturnQty"":1,""afterSalesType"":2,""afterSalesTypeTxt"":""RETURN"",""refundMode"":[{""icon"":""https://img105.savana.com/0da10966667842dbb7d8c00b94565f27"",""content"":""PhonePe 9981**-2@axl""}],""refundTimeline"":null,""refundStatus"":""OTHER"",""totalAmountTxt"":""₹1,260"",""isRtl"":false,""country"":""in"",""labels"":{""view"":""View"",""applicationTime"":""Application Time"",""returnMode"":""Refund Mode"",""returnTimeline"":""Refund Timeline"",""total"":""Refund"",""viewMore"":""View\nmore""}}}","[{'content': '{""cardType"":""reverse_order"",""data"":{""reverseId"":""S01326052101305434009"",""orderId"":""S011260517012612034003"",""showStatus"":""Return the item(s)"",""reverseItemList"":[{""skuId"":971223,""goodsId"":1781692,""goodsName"":""Bodycon Dress"",""skuValue"":""Color:Light Blue,Size:XS"",""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/177240b31a4649c186daae28ba8af52f_w96_q85"",""value"":""Light Blue""},{""keyId"":2,""pic"":null,""value"":""XS""}],""coverImage"":""https://img105.savana.com/goods-pic/b87ef51949634478933451c633d2634a_w90_h120"",""count"":1,""showDiscountPrice"":""₹1,260""}],""applyTime"":1779307254,""applicationTime"":""21 May, 2026 01:30:54"",""totalActualReturnQty"":1,""afterSalesType"":2,""afterSalesTypeTxt"":""RETURN"",""refundMode"":[{""icon"":""https://img105.savana.com/0da10966667842dbb7d8c00b94565f27"",""content"":""PhonePe 9981**-2@axl""}],""refundTimeline"":null,""refundStatus"":""OTHER"",""totalAmountTxt"":""₹1,260"",""isRtl"":false,""country"":""in"",""labels"":{""view"":""View"",""applicationTime"":""Application Time"",""returnMode"":""Refund Mode"",""returnTimeline"":""Refund Timeline"",""total"":""Refund"",""viewMore"":""View\\nmore""}}}', 'created_at': 1779423801, 'sender_type': 'contact'}, {'content': 'I want to know when this item is scheduled for return', 'created_at': 1779423948, 'sender_type': 'contact'}]",True,"['活动相关', '折扣', '价格']",3
3241778,2026-05-22 04:28:04.408827,4,2,1,2,"{""cardType"":""order"",""data"":{""userId"":14335535,""orderId"":""S011260519055434035002"",""subPay"":2671,""showTotalAmount"":""₹2,671"",""showStatus"":""In transit"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusInTransit3x.png"",""placeTime"":1779150274,""timeFormat"":""dd MMM, yyyy HH:mm:ss"",""orderCreatedTime"":""19 May, 2026 05:54:34"",""returnDeadlineTime"":null,""actualNum"":2,""itemList"":[{""skuId"":942456,""goodsId"":1722382,""count"":1,""title"":""Lace Bodycon Dress"",""coverImage"":""https://img105.savana.com/goods-pic/523420cf762148a09dd8d280fa02eb5f_w90_h120"",""skuValue"":""Green/M"",""discountPrice"":null,""showDiscountPrice"":null,""isGift"":null,""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/1897aa6ed4b44bcbb35f733b1e3567e6_w96_q85"",""value"":null},{""keyId"":2,""pic"":null,""value"":""M""}]},{""skuId"":1181947,""goodsId"":2212822,""count"":1,""title"":""Ruffle A-Line Dress"",""coverImage"":""https://img105.savana.com/goods-pic/56cc4cab418542568920af041f920f50_w90_h120"",""skuValue"":""Off White/M"",""discountPrice"":null,""showDiscountPrice"":null,""isGift"":null,""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/e3bf695defcc47d0a249559c9a9a86ca_w96_q85"",""value"":null},{""keyId"":2,""pic"":null,""value"":""M""}]}],""isRtl"":false,""country"":""in"",""labels"":{""orderID"":""Order ID"",""orderDate"":""Order date"",""total"":""Total"",""view"":""View"",""viewMore"":""View\nmore""}}}
Can i get my package today? Because yesterday was failed delivery","{""cardType"":""order"",""data"":{""userId"":14335535,""orderId"":""S011260519055434035002"",""subPay"":2671,""showTotalAmount"":""₹2,671"",""showStatus"":""In transit"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusInTransit3x.png"",""placeTime"":1779150274,""timeFormat"":""dd MMM, yyyy HH:mm:ss"",""orderCreatedTime"":""19 May, 2026 05:54:34"",""returnDeadlineTime"":null,""actualNum"":2,""itemList"":[{""skuId"":942456,""goodsId"":1722382,""count"":1,""title"":""Lace Bodycon Dress"",""coverImage"":""https://img105.savana.com/goods-pic/523420cf762148a09dd8d280fa02eb5f_w90_h120"",""skuValue"":""Green/M"",""discountPrice"":null,""showDiscountPrice"":null,""isGift"":null,""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/1897aa6ed4b44bcbb35f733b1e3567e6_w96_q85"",""value"":null},{""keyId"":2,""pic"":null,""value"":""M""}]},{""skuId"":1181947,""goodsId"":2212822,""count"":1,""title"":""Ruffle A-Line Dress"",""coverImage"":""https://img105.savana.com/goods-pic/56cc4cab418542568920af041f920f50_w90_h120"",""skuValue"":""Off White/M"",""discountPrice"":null,""showDiscountPrice"":null,""isGift"":null,""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/e3bf695defcc47d0a249559c9a9a86ca_w96_q85"",""value"":null},{""keyId"":2,""pic"":null,""value"":""M""}]}],""isRtl"":false,""country"":""in"",""labels"":{""orderID"":""Order ID"",""orderDate"":""Order date"",""total"":""Total"",""view"":""View"",""viewMore"":""View\nmore""}}}","[{'content': '{""cardType"":""order"",""data"":{""userId"":14335535,""orderId"":""S011260519055434035002"",""subPay"":2671,""showTotalAmount"":""₹2,671"",""showStatus"":""In transit"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusInTransit3x.png"",""placeTime"":1779150274,""timeFormat"":""dd MMM, yyyy HH:mm:ss"",""orderCreatedTime"":""19 May, 2026 05:54:34"",""returnDeadlineTime"":null,""actualNum"":2,""itemList"":[{""skuId"":942456,""goodsId"":1722382,""count"":1,""title"":""Lace Bodycon Dress"",""coverImage"":""https://img105.savana.com/goods-pic/523420cf762148a09dd8d280fa02eb5f_w90_h120"",""skuValue"":""Green/M"",""discountPrice"":null,""showDiscountPrice"":null,""isGift"":null,""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/1897aa6ed4b44bcbb35f733b1e3567e6_w96_q85"",""value"":null},{""keyId"":2,""pic"":null,""value"":""M""}]},{""skuId"":1181947,""goodsId"":2212822,""count"":1,""title"":""Ruffle A-Line Dress"",""coverImage"":""https://img105.savana.com/goods-pic/56cc4cab418542568920af041f920f50_w90_h120"",""skuValue"":""Off White/M"",""discountPrice"":null,""showDiscountPrice"":null,""isGift"":null,""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/e3bf695defcc47d0a249559c9a9a86ca_w96_q85"",""value"":null},{""keyId"":2,""pic"":null,""value"":""M""}]}],""isRtl"":false,""country"":""in"",""labels"":{""orderID"":""Order ID"",""orderDate"":""Order date"",""total"":""Total"",""view"":""View"",""viewMore"":""View\\nmore""}}}', 'created_at': 1779424084, 'sender_type': 'contact'}, {'content': 'Can i get my package today? Because yesterday was failed delivery', 'created_at': 1779424148, 'sender_type': 'contact'}]",True,"['折扣', '赠品', '价格']",3
3241858,2026-05-22 04:34:27.964374,4,11,1,8,"Network Unavailable! I waited for this from 8:00am but now the app is crashing!
@_ananyamukherjee09 😭😭
@strawberryy_mochi._ sameeeeeee, in my cart it's showing 4 products but when I click it on the bag it's showing empty too
@strawberryy_mochi._ yeahhh dude for realll... They're just fooling the people, and the sale is just for influencers
@_somethinglikethrift._ yeahhh, I expected this that's why I've stayed on the app since 8am..and it's all clear now, they are just fooling us and the free clothes are only for the influencers
They're fixing nothing! This sale is just a sc*am
Yeahhh, they are just fooling usss
@savana I Uninstalled Your Sh*it App, I don't want to purchase anything from the lia*rs!",Network Unavailable! I waited for this from 8:00am but now the app is crashing!,"[{'content': 'Network Unavailable! I waited for this from 8:00am but now the app is crashing!', 'created_at': 1779424468, 'sender_type': 'contact'}, {'content': '@_ananyamukherjee09 😭😭', 'created_at': 1779424778, 'sender_type': 'contact'}, {'content': ""@strawberryy_mochi._ sameeeeeee, in my cart it's showing 4 products but when I click it on the bag it's showing empty too"", 'created_at': 1779425001, 'sender_type': 'contact'}, {'content': ""@strawberryy_mochi._ yeahhh dude for realll... They're just fooling the people, and the sale is just for influencers"", 'created_at': 1779425333, 'sender_type': 'contact'}, {'content': ""@_somethinglikethrift._ yeahhh, I expected this that's why I've stayed on the app since 8am..and it's all clear now, they are just fooling us and the free clothes are only for the influencers"", 'created_at': 1779425568, 'sender_type': 'contact'}, {'content': ""They're fixing nothing! This sale is just a sc*am"", 'created_at': 1779426010, 'sender_type': 'contact'}, {'content': 'Yeahhh, they are just fooling usss', 'created_at': 1779426027, 'sender_type': 'contact'}, {'content': ""@savana I Uninstalled Your Sh*it App, I don't want to purchase anything from the lia*rs!"", 'created_at': 1779426819, 'sender_type': 'contact'}]",True,['活动相关'],1
3243144,2026-05-22 04:57:34.998029,4,11,1,1,Did anyone really ordered?,Did anyone really ordered?,"[{'content': 'Did anyone really ordered?', 'created_at': 1779425855, 'sender_type': 'contact'}]",False,[],0
3242317,2026-05-22 04:43:40.660389,4,11,1,1,Why only some can get it @savana,Why only some can get it @savana,"[{'content': 'Why only some can get it @savana', 'created_at': 1779425021, 'sender_type': 'contact'}]",False,[],0
3242454,2026-05-22 04:45:56.192628,4,2,1,1,Why order not accepted,Why order not accepted,"[{'content': 'Why order not accepted', 'created_at': 1779425156, 'sender_type': 'contact'}]",False,[],0
3241666,2026-05-22 04:20:49.181612,4,2,1,3,"Why it still show failed delivery?
{""cardType"":""order"",""data"":{""showStatus"":""In transit"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusInTransit3x.png"",""orderNo"":""S01126051710382133001"",""orderId"":""S011260517103821033001"",""actualNum"":1,""placeTime"":1778994501,""orderCreatedTime"":""17 May, 2026 10:38:21"",""timeFormat"":""dd MMM, yyyy HH:mm:ss"",""subPay"":1530,""showTotalAmount"":""₹1,530"",""returnDeadlineTime"":null,""itemList"":[{""skuId"":1182775,""goodsId"":2213882,""count"":1,""title"":""Sheer A-Line Dress"",""coverImage"":""https://img105.savana.com/goods-pic/172a8f7ee5e04618b68c118c263059f8_w90_h120"",""skuValue"":""Light Pink/S"",""skuValues"":[{""pic"":""https://img105.savana.com/goods-pic/bbb51e10fc2e467fbc853d042fffd53a_w96_q85""},{""value"":""S""}]}],""isRtl"":false,""country"":""in"",""labels"":{""orderID"":""Order ID"",""orderDate"":""Order date"",""total"":""Total"",""view"":""View"",""viewMore"":""View\nmore""}}}
So , i will not get my parcel..... damnn bro..25may is My birthday....",Why it still show failed delivery?,"[{'content': 'Why it still show failed delivery?', 'created_at': 1779423649, 'sender_type': 'contact'}, {'content': '{""cardType"":""order"",""data"":{""showStatus"":""In transit"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusInTransit3x.png"",""orderNo"":""S01126051710382133001"",""orderId"":""S011260517103821033001"",""actualNum"":1,""placeTime"":1778994501,""orderCreatedTime"":""17 May, 2026 10:38:21"",""timeFormat"":""dd MMM, yyyy HH:mm:ss"",""subPay"":1530,""showTotalAmount"":""₹1,530"",""returnDeadlineTime"":null,""itemList"":[{""skuId"":1182775,""goodsId"":2213882,""count"":1,""title"":""Sheer A-Line Dress"",""coverImage"":""https://img105.savana.com/goods-pic/172a8f7ee5e04618b68c118c263059f8_w90_h120"",""skuValue"":""Light Pink/S"",""skuValues"":[{""pic"":""https://img105.savana.com/goods-pic/bbb51e10fc2e467fbc853d042fffd53a_w96_q85""},{""value"":""S""}]}],""isRtl"":false,""country"":""in"",""labels"":{""orderID"":""Order ID"",""orderDate"":""Order date"",""total"":""Total"",""view"":""View"",""viewMore"":""View\\nmore""}}}', 'created_at': 1779423676, 'sender_type': 'contact'}, {'content': 'So , i will not get my parcel..... damnn bro..25may is My birthday....', 'created_at': 1779423768, 'sender_type': 'contact'}]",False,[],0
3241995,2026-05-22 04:37:32.040869,4,2,1,1,"{""cardType"":""goods"",""data"":{""goodsId"":2071142,""goodsName"":""High Waist Vintage Dark Wash Wide Leg Jeans"",""imageThumb"":""https://img105.savana.com/goods-pic/f6e3efa65ce54f649040aa0122ee26ed.webp"",""showOriginalPrice"":""₹1,690"",""showPromotePrice"":""₹1,521"",""isRtl"":false,""country"":""in"",""labels"":{""view"":""View""}}}","{""cardType"":""goods"",""data"":{""goodsId"":2071142,""goodsName"":""High Waist Vintage Dark Wash Wide Leg Jeans"",""imageThumb"":""https://img105.savana.com/goods-pic/f6e3efa65ce54f649040aa0122ee26ed.webp"",""showOriginalPrice"":""₹1,690"",""showPromotePrice"":""₹1,521"",""isRtl"":false,""country"":""in"",""labels"":{""view"":""View""}}}","[{'content': '{""cardType"":""goods"",""data"":{""goodsId"":2071142,""goodsName"":""High Waist Vintage Dark Wash Wide Leg Jeans"",""imageThumb"":""https://img105.savana.com/goods-pic/f6e3efa65ce54f649040aa0122ee26ed.webp"",""showOriginalPrice"":""₹1,690"",""showPromotePrice"":""₹1,521"",""isRtl"":false,""country"":""in"",""labels"":{""view"":""View""}}}', 'created_at': 1779424652, 'sender_type': 'contact'}]",True,['价格'],1
3242476,2026-05-22 04:46:23.863525,4,2,1,1,Hlo,Hlo,"[{'content': 'Hlo', 'created_at': 1779425183, 'sender_type': 'contact'}]",False,[],0
3241807,2026-05-22 04:30:08.119769,4,2,1,1,Ok thanks,Ok thanks,"[{'content': 'Ok thanks', 'created_at': 1779424208, 'sender_type': 'contact'}]",False,[],0
