conversation_id,hour,created_at,user_message_count,content_preview,level,categories,full_content
3246381,5,2026-05-22 05:35:31.89364,1,APP  is not working,2,['其他不确定'],APP  is not working
3244769,5,2026-05-22 05:19:43.306177,4,"Hi
When my order will get free
Which i have ordered
{""cardType"":""order"",""data"":{""showStatus"":""Preparing"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusProcessing3x.png"",""orderNo"":""",1,"['明确提到大促', '免费活动']","Hi
When my order will get free
Which i have ordered
{""cardType"":""order"",""data"":{""showStatus"":""Preparing"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusProcessing3x.png"",""orderNo"":""S01126052210463472151"",""orderId"":""S011260522104634072151"",""actualNum"":2,""placeTime"":1779426994,""orderCreatedTime"":""22 May, 2026 10:46:34"",""timeFormat"":""dd MMM, yyyy HH:mm:ss"",""subPay"":487,""showTotalAmount"":""₹487"",""returnDeadlineTime"":null,""itemList"":[{""skuId"":1193546,""goodsId"":2232472,""count"":1,""title"":""Scarf"",""coverImage"":""https://img105.savana.com/goods-pic/48da65c5c1484d5ebee2130a6ce85f88_w90_h120"",""skuValue"":""White-Orange/One-Size"",""skuValues"":[{""pic"":""https://img105.savana.com/goods-pic/39dd37a8fec24a23b815b170a81dc133_w96_q85""},{""value"":""One-Size""}]},{""skuId"":1197080,""goodsId"":2239492,""count"":1,""title"":""Scarf"",""coverImage"":""https://img105.savana.com/goods-pic/4088ff0dd6634c6d80763fb7785fc982_w90_h120"",""skuValue"":""Brown/One-Size"",""skuValues"":[{""pic"":""https://img105.savana.com/goods-pic/7c3bcb40d7534f389d6d63dbb7db722c_w96_q85""},{""value"":""One-Size""}]}],""isRtl"":false,""country"":""in"",""labels"":{""orderID"":""Order ID"",""orderDate"":""Order date"",""total"":""Total"",""view"":""View"",""viewMore"":""View\nmore""}}}"
3245911,5,2026-05-22 05:32:46.452363,2,"{""cardType"":""reverse_order"",""data"":{""reverseId"":""S01326051321274609002"",""orderId"":""S011260504222506109004"",""showStatus"":""Return the item(s)"",""reverseItemList"":[{""skuId"":1165581,""goodsId"":2179652,""good",1,['价格优惠咨询'],"{""cardType"":""reverse_order"",""data"":{""reverseId"":""S01326051321274609002"",""orderId"":""S011260504222506109004"",""showStatus"":""Return the item(s)"",""reverseItemList"":[{""skuId"":1165581,""goodsId"":2179652,""goodsName"":""Knitted Totes Bag"",""skuValue"":""Color:Beige,Size:One-Size"",""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/72acd04f3ef64a5792936fe60901eec7_w96_q85"",""value"":""Beige""},{""keyId"":2,""pic"":null,""value"":""One-Size""}],""coverImage"":""https://img105.savana.com/goods-pic/70a8ef62be3047e5b6d28d8ae48c73da_w90_h120"",""count"":1,""showDiscountPrice"":""₹634""}],""applyTime"":1778687866,""applicationTime"":""13 May, 2026 21:27:46"",""totalActualReturnQty"":1,""afterSalesType"":2,""afterSalesTypeTxt"":""RETURN"",""refundMode"":[{""icon"":""https://img.mfrcdn.com/static/up/image/5rfv6w4hqw4k7acwwta5oe4s-wallet.png"",""content"":""Savana Wallet""},{""icon"":""https://img105.savana.com/0da10966667842dbb7d8c00b94565f27"",""content"":""Gpay priy**-1@okhdfcbank""}],""refundTimeline"":null,""refundStatus"":""OTHER"",""totalAmountTxt"":""₹634"",""isRtl"":false,""country"":""in"",""labels"":{""view"":""View"",""applicationTime"":""Application Time"",""returnMode"":""Refund Mode"",""returnTimeline"":""Refund Timeline"",""total"":""Refund"",""viewMore"":""View\nmore""}}}
No one picked up"
3248905,5,2026-05-22 05:51:31.14363,11,"{""cardType"":""order"",""data"":{""userId"":165781350767816,""orderId"":""S011260522112009016158"",""subPay"":870,""showTotalAmount"":""₹870"",""showStatus"":""Waiting for Payment"",""showStatusIcon"":""https://img105.savana",1,"['明确提到大促', '价格优惠咨询']","{""cardType"":""order"",""data"":{""userId"":165781350767816,""orderId"":""S011260522112009016158"",""subPay"":870,""showTotalAmount"":""₹870"",""showStatus"":""Waiting for Payment"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusWaitingforPaymentRequired3x.png"",""placeTime"":1779429009,""timeFormat"":""dd MMM, yyyy HH:mm:ss"",""orderCreatedTime"":""22 May, 2026 11:20:09"",""returnDeadlineTime"":null,""actualNum"":1,""itemList"":[{""skuId"":1190892,""goodsId"":2227872,""count"":1,""title"":""Top"",""coverImage"":""https://img105.savana.com/goods-pic/f1184d63cc0549e8b43e497da430eb72_w90_h120"",""skuValue"":""Beige/M"",""discountPrice"":null,""showDiscountPrice"":null,""isGift"":null,""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/c348908c888b4d57b85403fdf88bdc64_w96_q85"",""value"":null},{""keyId"":2,""pic"":null,""value"":""M""}]}],""isRtl"":false,""country"":""in"",""labels"":{""orderID"":""Order ID"",""orderDate"":""Order date"",""total"":""Total"",""view"":""View"",""viewMore"":""View\nmore""}}}
Where is my refund like aniversery gift
I need information about my order (status, items, or delivery details)
{""cardType"":""order"",""data"":{""userId"":165781350767816,""orderId"":""S011260522112239016055"",""subPay"":870,""showTotalAmount"":""₹870"",""showStatus"":""Preparing"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusProcessing3x.png"",""placeTime"":1779429159,""timeFormat"":""dd MMM, yyyy HH:mm:ss"",""orderCreatedTime"":""22 May, 2026 11:22:39"",""returnDeadlineTime"":null,""actualNum"":1,""itemList"":[{""skuId"":1190892,""goodsId"":2227872,""count"":1,""title"":""Top"",""coverImage"":""https://img105.savana.com/goods-pic/f1184d63cc0549e8b43e497da430eb72_w90_h120"",""skuValue"":""Beige/M"",""discountPrice"":null,""showDiscountPrice"":null,""isGift"":null,""skuValues"":[{""keyId"":1,""pic"":""https://img105.savana.com/goods-pic/c348908c888b4d57b85403fdf88bdc64_w96_q85"",""value"":null},{""keyId"":2,""pic"":null,""value"":""M""}]}],""isRtl"":false,""country"":""in"",""labels"":{""orderID"":""Order ID"",""orderDate"":""Order date"",""total"":""Total"",""view"":""View"",""viewMore"":""View\nmore""}}}
I already pay the money when I received the gift
I am not use any type of coupon and i already paid the money still didn’t get money
Please guide me
S011260522112239016055
Its not there
🥺💗
Ishme nhi hai mera order"
3247016,5,2026-05-22 05:39:36.338733,1,Please provide details of my order,2,['其他不确定'],Please provide details of my order
3248121,5,2026-05-22 05:46:22.207273,4,"I want to cancel it i ordered it by mistake
{""cardType"":""order"",""data"":{""showStatus"":""Waiting for Payment"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusWaitingforPaymentRequired3x",1,['明确提到大促'],"I want to cancel it i ordered it by mistake
{""cardType"":""order"",""data"":{""showStatus"":""Waiting for Payment"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusWaitingforPaymentRequired3x.png"",""orderNo"":""S01126052211133911136"",""orderId"":""S011260522111339011136"",""actualNum"":1,""placeTime"":1779428619,""orderCreatedTime"":""22 May, 2026 11:13:39"",""timeFormat"":""dd MMM, yyyy HH:mm:ss"",""subPay"":1730,""showTotalAmount"":""₹1,730"",""returnDeadlineTime"":null,""itemList"":[{""skuId"":1091136,""goodsId"":2028852,""count"":1,""title"":""Lace-trimmed A-Line Dress"",""coverImage"":""https://img105.savana.com/goods-pic/37a149dd995047e1bf16400284c5d9b4_w90_h120"",""skuValue"":""Apricot/S"",""skuValues"":[{""pic"":""https://img105.savana.com/goods-pic/6e8a9c42bd834140923099499f8198ac_w96_q85""},{""value"":""S""}]}],""isRtl"":false,""country"":""in"",""labels"":{""orderID"":""Order ID"",""orderDate"":""Order date"",""total"":""Total"",""view"":""View"",""viewMore"":""View\nmore""}}}
I want to cancel this order I ordered it by mistake
It's not processed yet pls cancel my order"
3248082,5,2026-05-22 05:46:07.230645,2,"Free milne wala tha na bhai do na
Free order every minute 
Kaise milega",1,"['明确提到大促', '免费活动']","Free milne wala tha na bhai do na
Free order every minute 
Kaise milega"
3241883,4,2026-05-22 04:35:09.738196,1,Hi want to change my delivery address,3,['问候/寒暄'],Hi want to change my delivery address
3243395,5,2026-05-22 05:01:21.190426,2,"{""cardType"":""goods"",""data"":{""goodsId"":2083032,""goodsName"":""Rhinestone Push Up Bra"",""imageThumb"":""https://img105.savana.com/goods-pic/979b62c362d644ab9c08955d03fd42e8.webp"",""showOriginalPrice"":""₹490"",""",2,['发送订单卡片-无文字说明'],"{""cardType"":""goods"",""data"":{""goodsId"":2083032,""goodsName"":""Rhinestone Push Up Bra"",""imageThumb"":""https://img105.savana.com/goods-pic/979b62c362d644ab9c08955d03fd42e8.webp"",""showOriginalPrice"":""₹490"",""showPromotePrice"":""₹343"",""isRtl"":false,""country"":""in"",""labels"":{""view"":""View""}}}
I want to oder this"
3245820,5,2026-05-22 05:32:08.07067,3,"Heyy
{""cardType"":""order"",""data"":{""showStatus"":""Prepared at Dispatch Center"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusPreparedAtDispatch3x.png"",""orderNo"":""S01126052210451314160",1,"['明确提到大促', '免费活动']","Heyy
{""cardType"":""order"",""data"":{""showStatus"":""Prepared at Dispatch Center"",""showStatusIcon"":""https://img105.savana.com/mayfairOrderListStatusPreparedAtDispatch3x.png"",""orderNo"":""S01126052210451314160"",""orderId"":""S011260522104513014160"",""actualNum"":1,""placeTime"":1779426913,""orderCreatedTime"":""22 May, 2026 10:45:13"",""timeFormat"":""dd MMM, yyyy HH:mm:ss"",""subPay"":1590,""showTotalAmount"":""₹1,590"",""returnDeadlineTime"":null,""itemList"":[{""skuId"":1010226,""goodsId"":1865512,""count"":1,""title"":""Ruffle A-Line Dress"",""coverImage"":""https://img105.savana.com/goods-pic/0ee40d39f5524ab2b9f155f3ce1f6120_w90_h120"",""skuValue"":""Pink/XS"",""skuValues"":[{""pic"":""https://img105.savana.com/goods-pic/c1a6dc4f624a46529adf657b7211be2d_w96_q85""},{""value"":""XS""}]}],""isRtl"":false,""country"":""in"",""labels"":{""orderID"":""Order ID"",""orderDate"":""Order date"",""total"":""Total"",""view"":""View"",""viewMore"":""View\nmore""}}}
I ordered it but when will I know if it's eligible for savana aniversary sale as free order??"
